SEX,DATE OF JOINING,DESIGNATION,AGE,SALARY,UNIT,LEAVES USED,RATINGS,PAST EXP
M,2014-04-14,Analyst,25.0,42657,Operations,27.0,3.0,2
M,2013-03-19,Analyst,25.0,42400,Operations,29.0,3.0,1
F,2013-02-25,Analyst,24.0,41713,Marketing,16.0,3.0,0
M,2013-02-20,Analyst,21.0,46664,Finance,21.0,3.0,0
F,2013-08-19,Senior Analyst,26.0,66339,Management,24.0,5.0,1
F,2014-01-28,Analyst,22.0,45450,IT,27.0,2.0,0
F,2014-06-13,Analyst,25.0,43355,Web,22.0,3.0,2
F,2013-05-10,Analyst,23.0,42140,Operations,29.0,4.0,0
M,2014-08-03,Senior Analyst,28.0,52406,Operations,19.0,2.0,5
M,2014-09-12,Analyst,24.0,42440,IT,20.0,4.0,2
M,2012-01-02,Senior Analyst,25.0,64913,Finance,29.0,4.0,0
F,2013-01-17,Analyst,21.0,41551,Operations,21.0,2.0,0
M,2013-05-27,Senior Analyst,26.0,54689,Management,23.0,5.0,0
F,2014-04-28,Analyst,22.0,48747,Operations,21.0,4.0,0
F,2014-09-24,Senior Analyst,25.0,59907,IT,17.0,5.0,0
M,2013-12-20,Analyst,25.0,45319,Management,16.0,2.0,2
M,2012-06-29,Senior Analyst,28.0,60707,Finance,26.0,3.0,2
F,2014-04-24,Analyst,24.0,43124,IT,19.0,4.0,1
M,2013-10-21,Analyst,22.0,42121,Finance,30.0,5.0,0
F,2014-09-27,Analyst,24.0,45950,Marketing,15.0,3.0,2
F,2013-02-10,Senior Analyst,25.0,55525,Operations,18.0,2.0,0
M,2010-10-28,Manager,34.0,112580,Management,30.0,5.0,8
F,2014-05-24,Analyst,23.0,42160,Finance,20.0,3.0,0
F,2014-07-07,Analyst,22.0,40335,Finance,27.0,3.0,0
F,2014-02-28,Analyst,21.0,40363,IT,27.0,5.0,0
F,2013-04-15,Analyst,24.0,49029,Marketing,23.0,2.0,0
F,2013-11-01,Analyst,24.0,48775,Operations,22.0,5.0,1
M,2014-03-02,Analyst,21.0,40396,Marketing,28.0,2.0,0
F,2014-11-14,Analyst,25.0,45998,Finance,18.0,5.0,3
M,2013-10-08,Senior Analyst,25.0,68996,Operations,16.0,2.0,0
M,2014-06-14,Analyst,24.0,48222,Management,20.0,2.0,1
M,2013-02-13,Analyst,24.0,47982,Finance,19.0,5.0,0
M,2015-01-06,Analyst,25.0,44888,Operations,25.0,4.0,3
F,2013-09-29,Analyst,25.0,42457,Marketing,28.0,5.0,2
M,2012-06-27,Senior Analyst,26.0,58619,Finance,17.0,2.0,1
F,2013-03-11,Analyst,24.0,45482,Management,26.0,4.0,0
M,2014-10-24,Analyst,21.0,47827,IT,22.0,5.0,0
F,2012-05-19,Senior Manager,35.0,169300,Management,22.0,3.0,10
F,2014-09-08,Analyst,21.0,48833,Web,28.0,2.0,0
M,2011-11-18,Associate,29.0,96909,IT,21.0,4.0,1
M,2013-02-03,Senior Analyst,28.0,65639,Management,21.0,2.0,4
M,2012-03-01,Senior Analyst,28.0,63841,Web,21.0,5.0,0
F,2014-07-17,Analyst,24.0,46988,Operations,18.0,5.0,2
M,2013-10-19,Analyst,23.0,48739,Management,15.0,3.0,0
F,2014-10-01,Analyst,21.0,46438,Marketing,24.0,2.0,0
F,2013-05-31,Analyst,22.0,49253,Web,17.0,2.0,0
M,2014-07-11,Analyst,22.0,43508,Management,20.0,4.0,0
M,2014-02-12,Analyst,23.0,43586,Operations,20.0,2.0,0
M,2013-11-19,Analyst,24.0,46064,Management,25.0,2.0,1
M,2014-05-28,Analyst,24.0,43031,IT,24.0,3.0,1
F,2013-08-29,Analyst,24.0,40513,IT,29.0,5.0,1
M,2013-10-03,Analyst,21.0,47018,Operations,15.0,3.0,0
F,2013-11-15,Senior Analyst,28.0,50368,Operations,24.0,4.0,3
F,2014-01-02,Associate,32.0,99098,Marketing,28.0,3.0,8
F,2014-05-11,Analyst,25.0,47735,Finance,29.0,3.0,2
M,2013-11-06,Analyst,23.0,42722,Operations,22.0,2.0,0
M,2013-06-24,Associate,31.0,73190,Web,24.0,2.0,3
F,2013-11-04,Analyst,23.0,40134,Finance,26.0,4.0,0
M,2014-03-31,Associate,28.0,93854,Web,19.0,3.0,1
M,2014-07-28,Senior Analyst,25.0,67014,IT,20.0,4.0,0
M,2014-03-22,Analyst,24.0,46726,IT,22.0,2.0,1
F,2014-06-26,Analyst,21.0,49497,Finance,25.0,5.0,0
F,2014-08-19,Analyst,25.0,40270,IT,17.0,5.0,3
F,2014-04-22,Senior Analyst,28.0,60155,Marketing,27.0,5.0,4
F,2014-06-07,Analyst,24.0,44054,Finance,30.0,4.0,1
F,2014-11-23,Analyst,22.0,49006,Web,19.0,2.0,0
M,2014-09-08,Analyst,22.0,41008,Operations,29.0,4.0,0
M,2013-09-06,Analyst,24.0,44497,Marketing,17.0,4.0,1
F,2013-07-09,Analyst,21.0,45528,IT,30.0,5.0,0
M,2013-12-29,Analyst,24.0,41196,Marketing,17.0,4.0,1
F,2013-06-10,Senior Analyst,25.0,60159,Finance,27.0,2.0,0
F,2014-02-02,Analyst,22.0,49744,Web,28.0,2.0,0
M,2014-07-14,Analyst,21.0,41865,Finance,18.0,4.0,0
M,2015-01-09,Analyst,22.0,45784,Operations,30.0,4.0,0
M,2012-07-14,Manager,35.0,111599,Management,25.0,5.0,10
M,2012-12-28,Associate,31.0,77261,Finance,30.0,4.0,6
F,2013-07-30,Analyst,25.0,41323,Finance,22.0,5.0,2
M,2013-06-04,Analyst,25.0,44664,Operations,23.0,4.0,1
F,2012-06-23,Senior Analyst,28.0,65927,Finance,28.0,2.0,1
M,2014-10-31,Analyst,22.0,42723,Marketing,30.0,4.0,0
F,2010-04-10,Director,40.0,313938,Management,22.0,4.0,12
M,2013-05-27,Analyst,21.0,46616,Management,21.0,3.0,0
F,2014-06-02,Analyst,25.0,47517,IT,15.0,5.0,2
M,2014-02-07,Senior Analyst,25.0,66311,Management,15.0,3.0,2
M,2014-07-26,Analyst,21.0,43620,IT,28.0,4.0,0
F,2013-10-02,Associate,32.0,72359,Web,21.0,4.0,9
F,2013-05-18,Analyst,22.0,43324,Operations,19.0,5.0,0
M,2014-06-08,Senior Analyst,25.0,66984,Marketing,21.0,5.0,0
M,2012-11-03,Senior Analyst,27.0,63154,Finance,16.0,5.0,3
F,2013-11-27,Analyst,25.0,45992,Finance,30.0,4.0,2
M,2014-03-25,Analyst,22.0,44887,IT,27.0,2.0,0
M,2012-10-02,Senior Analyst,26.0,57046,Web,27.0,2.0,0
M,2014-05-25,Analyst,21.0,40065,Web,23.0,4.0,0
F,2013-03-27,Analyst,23.0,43676,Marketing,18.0,2.0,0
F,2014-07-20,Analyst,21.0,43428,Marketing,15.0,3.0,0
M,2014-12-01,Analyst,22.0,43976,Marketing,19.0,2.0,0
M,2013-10-11,Senior Analyst,25.0,66820,Finance,20.0,3.0,1
M,2015-01-15,Senior Analyst,27.0,64798,Web,21.0,3.0,2
F,2013-04-16,Analyst,22.0,40403,Marketing,19.0,5.0,0
F,2012-05-05,Associate,31.0,99603,Marketing,18.0,2.0,5
F,2011-08-26,Associate,28.0,96198,Web,25.0,2.0,2
M,2013-10-16,Senior Analyst,27.0,51930,IT,26.0,5.0,4
M,2014-06-02,Analyst,25.0,48996,IT,18.0,5.0,2
F,2014-07-25,Analyst,25.0,46808,Web,19.0,3.0,3
F,2013-06-20,Senior Manager,36.0,167610,Finance,25.0,3.0,12
F,2014-09-13,Analyst,25.0,44454,Operations,27.0,2.0,3
M,2014-08-22,Associate,28.0,86231,Finance,18.0,2.0,6
F,2014-08-19,Analyst,24.0,45252,IT,16.0,5.0,2
M,2014-10-20,Analyst,25.0,44011,Finance,24.0,4.0,3
F,2014-07-17,Analyst,22.0,47519,Management,19.0,5.0,0
M,2014-11-02,Analyst,25.0,46947,IT,18.0,4.0,3
M,2014-07-23,Analyst,25.0,46556,Web,19.0,4.0,3
F,2013-01-29,Analyst,21.0,43363,Marketing,21.0,2.0,0
F,2013-06-08,Analyst,25.0,43391,Management,26.0,5.0,1
F,2013-11-22,Analyst,22.0,41164,Management,22.0,4.0,0
F,2014-04-21,Analyst,24.0,48476,Operations,15.0,4.0,1
F,2012-01-06,Senior Manager,35.0,167525,Marketing,29.0,4.0,10
F,2012-11-14,Senior Analyst,27.0,65594,IT,22.0,4.0,0
F,2013-05-16,Analyst,23.0,45579,Marketing,30.0,4.0,0
M,2012-10-13,Senior Analyst,26.0,65880,Management,25.0,5.0,0
M,2013-01-25,Analyst,21.0,48948,Marketing,29.0,4.0,0
F,2013-01-30,Analyst,23.0,45525,Management,17.0,5.0,0
F,2014-04-07,Analyst,22.0,41819,Web,30.0,5.0,0
M,2013-08-04,Analyst,24.0,49752,Finance,22.0,4.0,1
M,2014-05-26,Analyst,22.0,48611,Marketing,19.0,5.0,0
M,2014-12-28,Analyst,24.0,43295,Operations,22.0,3.0,2
F,2013-11-11,Analyst,22.0,40395,Finance,23.0,2.0,0
M,2012-04-05,Senior Analyst,25.0,62960,Operations,16.0,2.0,0
M,2013-02-27,Analyst,23.0,41912,Web,19.0,2.0,0
M,2013-07-08,Analyst,22.0,45013,IT,24.0,3.0,0
F,2014-11-06,Senior Analyst,25.0,56854,Finance,27.0,2.0,0
F,2013-09-20,Analyst,23.0,47681,Operations,17.0,2.0,0
M,2014-08-22,Analyst,25.0,43638,Web,17.0,2.0,3
M,2014-04-04,Analyst,24.0,45776,Management,17.0,4.0,1
M,2013-06-02,Analyst,21.0,47216,Marketing,19.0,3.0,0
M,2013-03-31,Analyst,23.0,46824,Finance,16.0,5.0,0
F,2011-11-07,Manager,32.0,143778,Management,16.0,4.0,6
M,2012-01-02,Senior Analyst,27.0,60465,Web,19.0,4.0,0
F,2014-01-19,Analyst,21.0,40816,Management,28.0,3.0,0
M,2014-11-17,Analyst,23.0,44427,Web,19.0,5.0,1
M,2013-10-13,Analyst,23.0,48930,Finance,21.0,3.0,0
M,2011-02-02,Manager,34.0,148273,Finance,28.0,4.0,7
M,2014-10-09,Analyst,23.0,48583,Web,18.0,3.0,1
M,2015-01-01,Analyst,23.0,40413,IT,20.0,5.0,1
M,2014-08-05,Analyst,24.0,46891,Marketing,24.0,5.0,2
F,2014-08-31,Senior Analyst,28.0,56166,IT,20.0,3.0,4
F,2013-01-01,Analyst,21.0,43986,IT,18.0,3.0,0
M,2014-10-02,Analyst,24.0,43621,Operations,16.0,2.0,2
M,2014-11-17,Analyst,21.0,40228,Management,28.0,2.0,0
F,2013-06-18,Analyst,21.0,49384,Management,17.0,3.0,0
M,2014-02-02,Analyst,24.0,48969,Marketing,26.0,3.0,1
M,2015-01-29,Senior Analyst,27.0,58341,Finance,15.0,2.0,4
F,2013-12-21,Analyst,22.0,44448,Web,19.0,4.0,0
F,2014-09-17,Senior Analyst,26.0,51655,Finance,28.0,5.0,4
M,2013-09-16,Analyst,25.0,42776,Marketing,15.0,4.0,2
F,2014-02-15,Analyst,23.0,47326,Management,22.0,5.0,0
F,2015-01-05,Analyst,21.0,48098,Finance,30.0,5.0,0
M,2014-04-12,Analyst,21.0,49903,Management,26.0,4.0,0
M,2014-05-18,Analyst,23.0,41984,Management,29.0,4.0,0
M,2014-05-22,Analyst,25.0,48447,Web,20.0,5.0,2
F,2012-09-09,Senior Analyst,26.0,50809,Operations,21.0,4.0,1
F,2013-01-13,Analyst,21.0,45181,Finance,23.0,5.0,0
M,2014-12-05,Analyst,22.0,44543,IT,22.0,2.0,0
F,2013-09-06,Analyst,24.0,41380,Management,23.0,5.0,1
M,2014-08-27,Senior Analyst,27.0,53406,Web,27.0,3.0,3
M,2013-04-14,Analyst,23.0,41662,IT,20.0,5.0,0
M,2013-04-30,Analyst,24.0,41955,Management,24.0,3.0,0
M,2014-02-28,Analyst,23.0,45323,Web,29.0,3.0,0
M,2013-05-20,Associate,28.0,90201,IT,16.0,5.0,4
M,2013-05-03,Analyst,21.0,40222,Web,21.0,3.0,0
M,2013-03-01,Analyst,23.0,43247,Finance,22.0,3.0,0
F,2013-10-19,Senior Analyst,25.0,62673,Operations,29.0,3.0,2
M,2012-05-24,Senior Analyst,28.0,69306,Web,18.0,3.0,2
F,2015-01-08,Analyst,23.0,48462,Finance,26.0,3.0,1
F,2014-11-09,Senior Analyst,27.0,54643,Marketing,23.0,4.0,4
F,2013-07-13,Senior Analyst,28.0,57182,Management,28.0,4.0,3
F,2014-10-10,Analyst,21.0,49395,Management,19.0,2.0,0
F,2014-11-27,Senior Analyst,28.0,60348,Management,26.0,3.0,2
M,2013-04-27,Associate,32.0,72626,Marketing,28.0,2.0,4
F,2014-07-05,Analyst,25.0,43751,IT,23.0,3.0,2
F,2014-05-09,Senior Analyst,28.0,65607,Management,16.0,2.0,1
M,2014-02-26,Analyst,23.0,40183,IT,19.0,3.0,0
F,2013-09-25,Analyst,25.0,47609,IT,18.0,4.0,2
M,2013-01-04,Analyst,21.0,45896,IT,27.0,4.0,0
F,2013-10-19,Analyst,24.0,40486,Finance,22.0,5.0,1
M,2012-12-16,Associate,28.0,96535,Management,26.0,3.0,0
M,2014-09-20,Analyst,22.0,44762,Web,19.0,2.0,0
F,2013-03-14,Analyst,21.0,48839,Finance,17.0,3.0,0
F,2013-03-27,Analyst,22.0,43397,Web,23.0,5.0,0
M,2013-01-07,Analyst,23.0,49611,Management,28.0,2.0,0
F,2013-10-19,Senior Analyst,26.0,67051,Web,22.0,5.0,3
F,2014-01-07,Associate,31.0,93516,Operations,26.0,2.0,7
F,2013-12-06,Analyst,21.0,44181,Web,25.0,2.0,0
F,2013-05-16,Manager,33.0,100471,Web,25.0,4.0,7
F,2012-03-30,Senior Analyst,27.0,69383,Management,16.0,4.0,0
F,2014-02-01,Analyst,22.0,43132,IT,16.0,3.0,0
F,2014-07-03,Analyst,25.0,40403,Marketing,16.0,3.0,2
M,2013-08-10,Analyst,21.0,43239,Finance,22.0,4.0,0
M,2013-04-09,Analyst,22.0,42943,Web,21.0,3.0,0
F,2014-02-15,Analyst,23.0,41664,Operations,30.0,2.0,0
M,2014-09-06,Senior Analyst,26.0,63290,Marketing,23.0,2.0,0
M,2013-11-30,Analyst,24.0,47598,Marketing,20.0,2.0,1
F,2013-06-24,Analyst,24.0,45447,IT,16.0,2.0,0
M,2013-09-16,Analyst,23.0,42213,Web,21.0,4.0,0
M,2014-04-22,Analyst,21.0,44397,IT,25.0,5.0,0
F,2014-10-21,Analyst,21.0,48801,Finance,23.0,3.0,0
M,2013-05-29,Analyst,25.0,47532,Marketing,24.0,2.0,1
M,2014-10-07,Senior Manager,37.0,184143,IT,19.0,4.0,12
M,2012-03-09,Manager,35.0,124154,IT,20.0,4.0,8
M,2014-05-31,Analyst,25.0,40786,IT,25.0,5.0,2
M,2013-12-24,Analyst,23.0,47080,Operations,21.0,5.0,0
F,2013-07-03,Analyst,25.0,46572,Web,16.0,3.0,1
F,2013-11-30,Analyst,24.0,42066,Management,29.0,5.0,1
F,2011-06-20,Associate,32.0,72598,Web,17.0,5.0,6
F,2014-07-30,Analyst,22.0,46506,Web,25.0,2.0,0
F,2013-10-29,Analyst,24.0,44733,Management,26.0,4.0,1
M,2014-05-15,Analyst,22.0,46227,IT,15.0,3.0,0
F,2014-06-29,Analyst,23.0,46207,IT,17.0,4.0,0
M,2012-10-31,Senior Analyst,28.0,62243,Web,23.0,4.0,0
M,2013-11-07,Analyst,23.0,48479,Operations,15.0,4.0,0
M,2013-03-22,Analyst,23.0,48364,Finance,26.0,3.0,0
F,2014-10-25,Analyst,25.0,46564,Operations,25.0,4.0,3
M,2013-06-29,Analyst,21.0,48001,Operations,18.0,4.0,0
M,2015-01-01,Senior Analyst,25.0,55001,Operations,22.0,2.0,0
F,2014-07-15,Analyst,24.0,49901,Management,18.0,5.0,2
M,2013-11-19,Senior Analyst,25.0,65919,Marketing,19.0,5.0,2
M,2012-02-01,Senior Analyst,25.0,61353,IT,22.0,2.0,0
F,2014-09-12,Analyst,25.0,49321,Marketing,18.0,2.0,3
M,2014-11-24,Associate,31.0,93715,Web,25.0,4.0,6
M,2014-11-20,Analyst,23.0,41052,IT,15.0,5.0,1
M,2013-03-06,Analyst,24.0,46907,IT,29.0,3.0,0
F,2014-10-15,Analyst,22.0,45518,Web,25.0,3.0,0
F,2014-06-30,Analyst,23.0,43894,Web,25.0,5.0,0
M,2013-01-25,Analyst,25.0,48355,IT,19.0,3.0,1
M,2014-11-23,Analyst,22.0,47759,Management,15.0,3.0,0
F,2013-01-16,Analyst,25.0,40105,Marketing,27.0,3.0,1
F,2012-09-27,Senior Analyst,26.0,60014,Operations,24.0,5.0,1
M,2013-07-28,Analyst,21.0,44848,Finance,21.0,2.0,0
M,2013-05-18,Analyst,22.0,45103,Finance,19.0,4.0,0
F,2013-06-19,Associate,32.0,81191,Finance,15.0,5.0,4
F,2014-03-29,Analyst,22.0,45025,Marketing,15.0,5.0,0
M,2014-08-30,Analyst,21.0,41943,Finance,16.0,3.0,0
F,2012-10-09,Senior Analyst,27.0,50393,Management,28.0,2.0,0
F,2013-09-03,Analyst,22.0,42003,Web,25.0,4.0,0
M,2014-04-21,Analyst,22.0,42041,IT,24.0,2.0,0
F,2013-01-12,Analyst,25.0,44015,IT,24.0,3.0,1
M,2011-05-07,Manager,32.0,140916,Marketing,29.0,2.0,4
M,2013-06-14,Analyst,22.0,46173,Web,22.0,5.0,0
M,2014-09-29,Analyst,23.0,41701,Web,22.0,5.0,1
M,2013-03-16,Analyst,24.0,47465,Marketing,20.0,4.0,0
F,2014-07-03,Analyst,24.0,49670,Management,22.0,3.0,1
F,2011-05-06,Senior Manager,35.0,153111,Operations,19.0,4.0,6
M,2014-07-28,Analyst,23.0,47408,Finance,16.0,3.0,1
M,2014-12-13,Analyst,23.0,47629,Management,17.0,2.0,1
F,2014-06-19,Senior Analyst,28.0,68884,Operations,26.0,5.0,5
F,2013-11-01,Analyst,24.0,49849,Web,30.0,4.0,1
M,2014-02-17,Senior Analyst,25.0,68785,IT,16.0,4.0,1
F,2013-06-10,Analyst,21.0,48102,Finance,27.0,4.0,0
M,2013-07-23,Analyst,23.0,44610,Operations,29.0,5.0,0
F,2013-04-08,Analyst,25.0,46659,Finance,21.0,5.0,1
M,2013-09-28,Analyst,21.0,47781,IT,17.0,3.0,0
F,2014-03-06,Analyst,25.0,49942,Operations,23.0,3.0,2
F,2014-05-02,Manager,35.0,148606,Web,18.0,2.0,8
F,2013-02-08,Manager,33.0,110885,Web,21.0,2.0,5
M,2014-08-24,Analyst,22.0,45019,Web,28.0,2.0,0
M,2013-06-24,Analyst,22.0,41378,Marketing,22.0,3.0,0
F,2014-03-31,Analyst,21.0,42327,Management,25.0,2.0,0
M,2015-01-23,Senior Analyst,28.0,68446,Management,23.0,5.0,3
M,2014-03-24,Analyst,23.0,47764,IT,26.0,4.0,0
M,2014-09-26,Analyst,21.0,49905,Finance,22.0,5.0,0
M,2014-12-08,Director,45.0,253284,IT,15.0,2.0,23
F,2013-01-04,Analyst,22.0,49703,Operations,29.0,3.0,0
F,2014-11-20,Analyst,23.0,48049,Operations,22.0,5.0,1
F,2014-03-25,Analyst,25.0,43428,Management,19.0,5.0,2
M,2015-01-28,Senior Manager,35.0,185221,Operations,24.0,5.0,11
F,2014-08-10,Analyst,23.0,48969,Operations,29.0,4.0,1
M,2015-01-21,Analyst,23.0,45740,Web,30.0,5.0,1
F,2013-09-10,Analyst,23.0,46601,Web,21.0,5.0,0
M,2014-10-25,Analyst,23.0,45949,Finance,25.0,4.0,1
M,2013-10-24,Analyst,22.0,41861,Finance,22.0,3.0,0
M,2012-04-14,Senior Analyst,28.0,56772,Marketing,26.0,2.0,0
F,2015-01-22,Analyst,25.0,46052,Web,25.0,4.0,3
F,2014-08-26,Analyst,22.0,43483,Management,22.0,4.0,0
M,2013-09-06,Analyst,25.0,43860,Web,16.0,2.0,2
F,2013-12-07,Senior Analyst,28.0,61374,Web,24.0,3.0,3
F,2013-04-02,Analyst,24.0,48095,Operations,19.0,5.0,0
M,2014-06-21,Analyst,23.0,49592,Management,23.0,5.0,0
M,2014-01-29,Analyst,24.0,46942,Marketing,18.0,2.0,1
F,2015-01-25,Analyst,24.0,42333,Web,25.0,3.0,2
F,2009-12-10,Director,45.0,319141,Web,21.0,4.0,17
F,2011-02-06,Associate,29.0,91596,IT,20.0,2.0,3
F,2014-08-18,Analyst,21.0,40586,Web,26.0,4.0,0
M,2013-03-07,Analyst,24.0,49530,Finance,18.0,3.0,0
F,2014-08-06,Analyst,24.0,42583,Management,26.0,5.0,2
F,2011-11-06,Associate,29.0,92453,Management,29.0,3.0,4
F,2014-12-05,Associate,28.0,93659,Management,24.0,3.0,5
M,2014-11-09,Analyst,24.0,48222,Marketing,29.0,3.0,2
M,2014-03-27,Analyst,25.0,46319,Finance,26.0,3.0,2
M,2014-08-11,Analyst,24.0,45861,Operations,29.0,5.0,2
F,2013-01-01,Analyst,23.0,45481,Marketing,24.0,4.0,0
F,2013-01-01,Analyst,25.0,42008,IT,16.0,2.0,1
M,2014-05-15,Analyst,22.0,47850,IT,22.0,3.0,0
M,2014-01-14,Analyst,25.0,40113,Web,25.0,4.0,2
M,2013-04-24,Analyst,22.0,47525,IT,20.0,4.0,0
M,2014-05-11,Analyst,21.0,47685,IT,16.0,3.0,0
F,2015-01-29,Senior Analyst,25.0,64823,Management,25.0,2.0,1
M,2014-11-11,Analyst,23.0,40414,Management,23.0,2.0,1
F,2015-01-18,Analyst,22.0,40572,IT,16.0,5.0,0
F,2014-04-04,Analyst,25.0,46350,Finance,22.0,5.0,2
M,2013-04-07,Associate,28.0,93529,Management,25.0,3.0,3
M,2012-12-03,Senior Analyst,25.0,63647,Web,16.0,2.0,0
F,2013-12-12,Manager,35.0,140401,Marketing,28.0,4.0,9
F,2014-01-10,Analyst,23.0,49141,IT,25.0,5.0,0
M,2014-10-27,Analyst,23.0,43670,IT,26.0,2.0,1
M,2013-10-27,Analyst,23.0,42553,Operations,25.0,5.0,0
M,2014-09-12,Analyst,22.0,46783,Operations,19.0,5.0,0
M,2013-02-07,Analyst,22.0,47146,Finance,29.0,5.0,0
F,2014-03-14,Analyst,22.0,48730,Management,23.0,2.0,0
M,2014-03-05,Analyst,22.0,40808,IT,17.0,2.0,0
F,2013-02-15,Analyst,25.0,40508,Management,17.0,4.0,1
F,2013-12-06,Analyst,22.0,45111,IT,27.0,5.0,0
F,2014-11-16,Analyst,23.0,47414,Web,17.0,5.0,1
M,2012-06-04,Senior Manager,39.0,161839,Marketing,25.0,4.0,11
F,2014-05-01,Associate,29.0,82993,Finance,29.0,5.0,5
F,2013-01-20,Analyst,25.0,43354,IT,27.0,4.0,1
M,2013-09-07,Analyst,24.0,47791,Web,29.0,2.0,1
F,2013-04-26,Senior Analyst,25.0,59115,Management,26.0,4.0,0
F,2013-10-22,Analyst,23.0,49830,Finance,21.0,2.0,0
F,2013-03-25,Analyst,24.0,46822,Operations,29.0,2.0,0
F,2013-01-15,Analyst,21.0,45321,Operations,19.0,5.0,0
M,2014-12-12,Analyst,22.0,48781,Web,16.0,4.0,0
F,2013-10-28,Analyst,25.0,49631,Marketing,20.0,3.0,2
F,2013-03-10,Analyst,25.0,46102,IT,29.0,5.0,1
F,2013-03-26,Analyst,25.0,46781,Management,26.0,3.0,1
M,2014-03-21,Analyst,24.0,46935,IT,30.0,5.0,1
M,2013-04-28,Analyst,24.0,41705,Operations,27.0,2.0,0
M,2014-07-23,Analyst,22.0,43434,Web,19.0,4.0,0
M,2013-10-08,Analyst,24.0,43726,Management,30.0,5.0,1
M,2014-05-31,Analyst,23.0,48443,Management,29.0,4.0,0
F,2014-01-29,Senior Analyst,28.0,50687,Management,23.0,5.0,5
F,2013-09-20,Analyst,25.0,42635,IT,18.0,3.0,2
F,2013-05-21,Analyst,25.0,41834,Finance,29.0,3.0,1
F,2014-08-09,Analyst,24.0,44028,Web,30.0,5.0,2
M,2013-05-31,Analyst,22.0,44787,Operations,28.0,5.0,0
F,2012-02-03,Senior Analyst,28.0,60183,Marketing,24.0,5.0,1
M,2014-06-28,Analyst,24.0,40594,IT,23.0,5.0,1
M,2013-04-23,Analyst,24.0,40251,Operations,19.0,5.0,0
F,2014-04-02,Analyst,23.0,44551,Marketing,19.0,5.0,0
M,2014-11-18,Analyst,24.0,49525,Finance,29.0,4.0,2
M,2014-06-21,Analyst,21.0,43624,Web,16.0,4.0,0
F,2013-11-13,Analyst,25.0,41785,Finance,20.0,4.0,2
M,2012-05-10,Senior Analyst,27.0,52760,Operations,19.0,4.0,2
F,2014-12-23,Analyst,21.0,42143,Operations,15.0,4.0,0
M,2013-06-20,Senior Analyst,26.0,68067,Web,15.0,3.0,2
F,2012-10-18,Associate,30.0,87166,Operations,24.0,5.0,3
M,2013-04-08,Analyst,24.0,48519,IT,18.0,2.0,0
M,2015-01-07,Analyst,22.0,47013,Marketing,18.0,3.0,0
M,2014-06-14,Analyst,23.0,47131,IT,26.0,4.0,0
M,2014-05-19,Senior Analyst,26.0,67582,Management,23.0,5.0,3
M,2013-09-28,Analyst,21.0,48343,Web,30.0,4.0,0
M,2013-05-11,Analyst,21.0,44693,Web,28.0,2.0,0
F,2014-06-29,Analyst,22.0,47812,Operations,21.0,5.0,0
F,2015-01-19,Analyst,23.0,40690,Operations,30.0,2.0,1
F,2014-02-06,Analyst,21.0,48587,IT,20.0,3.0,0
F,2014-05-28,Analyst,21.0,44467,Marketing,28.0,2.0,0
F,2014-12-05,Analyst,23.0,43172,Finance,17.0,3.0,1
F,2013-04-25,Analyst,23.0,44014,Web,22.0,2.0,0
M,2013-11-22,Analyst,23.0,44372,Marketing,29.0,4.0,0
F,2014-01-04,Analyst,22.0,47033,Finance,20.0,2.0,0
F,2014-07-18,Analyst,22.0,47990,Marketing,28.0,4.0,0
F,2013-10-15,Analyst,22.0,46452,Management,16.0,3.0,0
M,2013-10-23,Analyst,25.0,42826,Management,19.0,3.0,2
F,2013-05-22,Analyst,23.0,40846,IT,30.0,2.0,0
F,2013-02-18,Analyst,22.0,45036,Web,21.0,5.0,0
M,2013-11-11,Associate,28.0,71673,Finance,29.0,3.0,3
M,2013-08-29,Analyst,21.0,41386,Web,19.0,4.0,0
M,2013-06-22,Analyst,23.0,44094,Management,17.0,3.0,0
M,2013-02-08,Senior Analyst,28.0,67575,Finance,23.0,5.0,0
F,2014-03-14,Analyst,23.0,45156,IT,27.0,3.0,0
M,2014-02-13,Analyst,21.0,49686,Web,27.0,3.0,0
M,2014-02-03,Analyst,22.0,41032,Finance,20.0,3.0,0
M,2011-03-04,Associate,31.0,98715,Operations,27.0,5.0,5
F,2014-10-10,Senior Analyst,25.0,58773,Finance,28.0,5.0,2
M,2014-06-25,Analyst,22.0,41925,IT,24.0,2.0,0
F,2014-08-01,Analyst,25.0,43531,Web,24.0,4.0,3
M,2013-12-13,Analyst,22.0,42673,Operations,25.0,2.0,0
M,2013-10-27,Analyst,22.0,49618,Operations,30.0,5.0,0
F,2013-03-27,Senior Analyst,27.0,69643,Marketing,16.0,4.0,3
F,2014-03-23,Senior Analyst,26.0,59262,Web,18.0,2.0,0
M,2015-01-10,Analyst,25.0,41583,IT,15.0,5.0,3
F,2014-11-07,Analyst,21.0,40415,Marketing,28.0,3.0,0
F,2013-02-11,Analyst,24.0,42416,Web,22.0,5.0,0
M,2014-06-12,Associate,31.0,87324,Marketing,16.0,2.0,5
F,2011-08-05,Associate,28.0,84967,Web,29.0,2.0,0
F,2013-01-19,Analyst,24.0,41869,Management,24.0,5.0,0
F,2013-01-17,Analyst,21.0,43481,Operations,29.0,5.0,0
F,2012-12-02,Senior Analyst,28.0,54166,Web,15.0,4.0,2
M,2014-12-06,Analyst,25.0,47649,Finance,20.0,3.0,3
